File name,Time,Best primal bound,Active columns in best primal sol,Total columns generated,Solved to optimality
RKP_UN_n50_R1000_H100_h40_dev0.15_d0.1,7.34081,14943.6,20,837,1
RKP_UN_n50_R1000_H100_h40_dev0.15_d0.5,16.4924,16754.6,17,1527,1
RKP_UN_n50_R1000_H100_h40_dev0.15_d1,56.6496,12666.9,16,3617,1
RKP_UN_n50_R1000_H100_h40_dev0.1_d0.1,7.66801,15174.6,17,824,1
RKP_UN_n50_R1000_H100_h40_dev0.1_d0.5,9.62695,15447.4,7,869,1
RKP_UN_n50_R1000_H100_h40_dev0.1_d1,41.0012,16035.1,14,2827,1
RKP_UN_n50_R1000_H100_h40_dev0.2_d0.1,5.74258,14218,1,622,1
RKP_UN_n50_R1000_H100_h40_dev0.2_d0.5,8.89989,13014.8,19,953,1
RKP_UN_n50_R1000_H100_h40_dev0.2_d1,23.6983,14692,1,2045,1
RKP_UN_n50_R1000_H100_h80_dev0.15_d0.1,2.42962,21256,22,196,1
RKP_UN_n50_R1000_H100_h80_dev0.15_d0.5,3.70664,19495,28,285,1
RKP_UN_n50_R1000_H100_h80_dev0.15_d1,19.5337,21837.8,29,1277,1
RKP_UN_n50_R1000_H100_h80_dev0.1_d0.1,1.11397,22255.9,20,83,1
RKP_UN_n50_R1000_H100_h80_dev0.1_d0.5,2.94792,24536.3,23,217,1
RKP_UN_n50_R1000_H100_h80_dev0.1_d1,3.27882,22598.5,28,271,1
RKP_UN_n50_R1000_H100_h80_dev0.2_d0.1,2.94362,20004.3,29,292,1
RKP_UN_n50_R1000_H100_h80_dev0.2_d0.5,2.88907,21928.9,23,246,1
RKP_UN_n50_R1000_H100_h80_dev0.2_d1,7.20349,21537.2,27,608,1
RKP_WC_n50_R1000_H100_h40_dev0.15_d0.1,TIME_LIMIT,7757.4,16,68421,0
RKP_WC_n50_R1000_H100_h40_dev0.15_d0.5,TIME_LIMIT,8743.5,17,65492,0
RKP_WC_n50_R1000_H100_h40_dev0.15_d1,2089.47,7978.69,17,29281,1
RKP_WC_n50_R1000_H100_h40_dev0.1_d0.1,TIME_LIMIT,8689.26,16,68791,0
RKP_WC_n50_R1000_H100_h40_dev0.1_d0.5,TIME_LIMIT,8883.29,13,63742,0
RKP_WC_n50_R1000_H100_h40_dev0.1_d1,TIME_LIMIT,9848.99,13,65025,0
RKP_WC_n50_R1000_H100_h40_dev0.2_d0.1,TIME_LIMIT,8065.89,21,72070,0
RKP_WC_n50_R1000_H100_h40_dev0.2_d0.5,2868.89,8288,1,35800,1
RKP_WC_n50_R1000_H100_h40_dev0.2_d1,972.02,8676,1,19110,1
RKP_WC_n50_R1000_H100_h80_dev0.15_d0.1,TIME_LIMIT,15682.5,18,55281,0
RKP_WC_n50_R1000_H100_h80_dev0.15_d0.5,TIME_LIMIT,17167.6,17,58139,0
RKP_WC_n50_R1000_H100_h80_dev0.15_d1,9405.26,18725.6,19,58084,1
RKP_WC_n50_R1000_H100_h80_dev0.1_d0.1,TIME_LIMIT,17434.9,13,58462,0
RKP_WC_n50_R1000_H100_h80_dev0.1_d0.5,4326.6,15293.6,12,37373,1
RKP_WC_n50_R1000_H100_h80_dev0.1_d1,3111.29,20529.3,13,28921,1
RKP_WC_n50_R1000_H100_h80_dev0.2_d0.1,TIME_LIMIT,16031.4,22,57684,0
RKP_WC_n50_R1000_H100_h80_dev0.2_d0.5,TIME_LIMIT,17571.4,24,54246,0
